y_mm	mean_u	rms_u
5.843020635839999954e+01	9.905491298599999439e+00	1.267082284000000114e-01
5.670567840340000032e+01	9.878254867100000780e+00	1.075253530000000041e-01
5.498115044829999931e+01	9.884408321200000458e+00	8.847264000000000517e-02
5.325662249330000009e+01	9.916461935799999239e+00	9.546499760000000390e-02
5.153209453819999908e+01	9.941168263099999791e+00	9.192697140000000156e-02
4.980756658319999985e+01	9.940289407999999938e+00	9.190036760000000471e-02
4.808303862809999885e+01	9.944543448499999272e+00	1.097471098000000062e-01
4.635851067299999784e+01	9.956899548999999183e+00	8.826137550000000276e-02
4.463398271799999861e+01	9.943909086899999750e+00	9.020477890000000443e-02
4.290945476289999760e+01	9.914376031599999806e+00	9.927062209999999720e-02
4.118492680789999838e+01	9.907286453699999385e+00	7.761591510000000194e-02
3.946039885279999737e+01	9.888585269000000011e+00	8.930752250000000003e-02
3.773587089779999815e+01	9.860041935299999949e+00	7.450941789999999953e-02
3.601134294269999714e+01	9.888005239399999979e+00	1.092976212000000003e-01
3.428681498769999791e+01	9.902732853599999885e+00	1.150936503999999971e-01
3.256228703259999691e+01	9.902356935700000307e+00	1.320281994999999986e-01
3.083775907749999590e+01	9.889922274199999919e+00	1.243314833999999980e-01
2.911323112249999667e+01	9.854599935299999558e+00	1.120863524999999999e-01
2.738870316739999566e+01	9.851715939700000035e+00	1.064679575000000017e-01
2.566417521239999644e+01	9.893904655100000056e+00	9.969620279999999446e-02
2.393964725729999543e+01	9.907061783999999705e+00	1.293577915999999939e-01
2.221511930229999621e+01	9.899777639099999860e+00	1.162753920000000052e-01
2.049059134719999520e+01	9.902906862500000074e+00	9.285371109999999983e-02
1.876606339219999597e+01	9.912102902599999155e+00	1.242029154999999968e-01
1.704153543709999497e+01	9.904817289400000391e+00	1.336311394999999957e-01
1.531700748209999574e+01	9.909809949899999637e+00	1.292954866000000091e-01
1.359247952700000184e+01	9.890975138099999953e+00	1.068687125999999987e-01
1.186795157190000083e+01	9.891456783000000641e+00	1.034417192000000041e-01
1.014342361690000160e+01	9.900761486900000463e+00	1.163926827999999941e-01
8.418895661800000596e+00	9.874840034099999997e+00	1.230847867000000040e-01
6.694367706800001372e+00	9.893754141100000510e+00	1.879466511000000006e-01
4.969839751700000363e+00	9.914433300400000704e+00	2.137655546999999989e-01
3.245311796700001139e+00	9.552755428799999393e+00	2.946713886999999810e-01
1.520783841600000130e+00	8.509735786600000296e+00	6.601231470999999740e-01
-2.037441133999990939e-01	7.704708194100000185e+00	6.312449195999999541e-01
-1.928272068500000103e+00	7.837758925400000187e+00	6.488437267000000119e-01
-3.652800023600001111e+00	8.390669644200000832e+00	8.514505246000000360e-01
-5.377327978600000336e+00	8.984581853199999912e+00	8.375247646000000268e-01
-7.101855933700001344e+00	9.665845797099999359e+00	3.602352082999999983e-01
-8.826383888700000568e+00	9.998223359400000732e+00	2.116484693000000028e-01
-1.055091184380000158e+01	1.001866610149999914e+01	1.921006088999999972e-01
-1.227543979880000080e+01	9.984608814799999621e+00	1.467688117000000014e-01
-1.399996775390000181e+01	9.956717463700000437e+00	1.312891894000000059e-01
-1.572449570890000103e+01	9.968332007300000797e+00	1.653779327000000077e-01
-1.744902366400000204e+01	9.961007480699999306e+00	1.770220858000000064e-01
-1.917355161909999950e+01	9.974546401199999579e+00	1.189917572000000062e-01
-2.089807957409999872e+01	1.009569257409999921e+01	1.115038908000000051e-01
-2.262260752919999973e+01	1.015054135499999965e+01	1.129622936999999938e-01
-2.434713548419999896e+01	1.009944514580000074e+01	1.525849055999999870e-01
-2.607166343929999996e+01	1.006088859089999943e+01	1.587137748999999931e-01
-2.779619139429999919e+01	1.012724545420000055e+01	9.459909449999999442e-02
-2.952071934940000020e+01	1.012790331070000072e+01	1.282575133999999950e-01
-3.124524730439999942e+01	1.011796938470000029e+01	1.101878221999999935e-01
-3.296977525949999688e+01	1.017409643350000081e+01	9.438222009999999718e-02
-3.469430321459999789e+01	1.021588573620000062e+01	1.193827380999999965e-01
-3.641883116959999711e+01	1.024890264060000078e+01	1.262915958999999977e-01
-3.814335912469999812e+01	1.025139236290000078e+01	1.143841121000000044e-01
-3.986788707969999734e+01	1.025045330220000039e+01	1.105046130000000015e-01
-4.159241503479999835e+01	1.030136155239999951e+01	1.013003244000000025e-01
-4.331694298979999758e+01	1.032123894909999962e+01	8.896426570000000311e-02
-4.504147094489999859e+01	1.030670516750000054e+01	1.043676443000000065e-01
-4.676599889989999781e+01	1.033319637099999966e+01	9.365653479999999642e-02
-4.849052685499999882e+01	1.034703778799999974e+01	5.501257390000000025e-02
-5.021505480999999804e+01	1.032274262099999973e+01	9.664891320000000563e-02
-5.193958276509999905e+01	1.030857154149999921e+01	9.013875690000000551e-02
-5.366411072020000006e+01	1.033222133379999974e+01	8.927756890000000667e-02
-5.538863867519999928e+01	1.037298860940000012e+01	8.173948899999999851e-02
-5.711316663030000029e+01	1.037767363390000064e+01	7.650741710000000251e-02
-5.883769458529999952e+01	1.039193502180000017e+01	9.199461670000000368e-02
-6.056222254040000053e+01	1.037944015469999925e+01	7.890462260000000172e-02
-6.228675049539999975e+01	1.038936086480000043e+01	6.334292889999999787e-02
-6.401127845050000076e+01	1.041303929140000051e+01	5.967043820000000193e-02
-6.573580640549999998e+01	1.042875148769999960e+01	5.793824770000000068e-02
-6.746033436060000099e+01	1.042119935450000057e+01	8.770163420000000321e-02
-6.918486231570000200e+01	1.042311712350000086e+01	7.898419310000000249e-02
-7.090939027070000122e+01	1.043363107909999954e+01	1.005922659999999996e-01
